timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753970825756,579,Type and Search,200,"Number of samples in transaction : 1, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-33,,true,,4081,967,61,100,null,0,4292,0
1753970830048,579,Type and Search-22,200,,1_ Search - Ultimate Thread Group 1-33,text,true,,4081,967,61,100,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=89BCDD5E8DF15351B7C17616FEC2CB7E,579,0,0
1753970828027,565,Click on ItemID,200,"Number of samples in transaction : 1, number of failing samples : 0",3_ Add to Cart - Ultimate Thread Group 3-6,,true,,3944,656,8,100,null,0,2053,0
1753970830080,565,Click on ItemID-66,200,,3_ Add to Cart - Ultimate Thread Group 3-6,text,true,,3944,656,8,100,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-15,564,0,0
1753970828066,551,Click on ItemID,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-30,,true,,3810,656,30,100,null,0,2082,0
1753970830147,551,Click on ItemID-30,200,,2_ View Details - Ultimate Thread Group 2-30,text,true,,3810,656,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-11,551,0,0
1753970826129,3483,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-58,,true,,23028,1638,61,100,null,0,1091,1606
1753970826130,2239,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-58,text,true,,1452,508,58,93,https://petstore.octoperf.com/,2239,0,1606
1753970829458,497,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-58,text,true,,4986,578,61,97,https://petstore.octoperf.com/actions/Catalog.action,496,0,0
1753970829955,747,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-58,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,535,0,0
1753970828168,509,Click on Category,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-16,,true,,3928,630,30,100,null,0,2071,0
1753970830239,509,Click on Category-28,200,,2_ View Details - Ultimate Thread Group 2-16,text,true,,3928,630,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,509,0,0
1753970825998,515,Type and Search,200,"Number of samples in transaction : 1, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-49,,true,,3441,967,61,100,null,0,4295,0
1753970830293,515,Type and Search-22,200,,1_ Search - Ultimate Thread Group 1-49,text,true,,3441,967,61,100,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=89BCDD5E8DF15351B7C17616FEC2CB7E,515,0,0
1753970826093,517,Type and Search,200,"Number of samples in transaction : 1, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-16,,true,,3441,967,61,100,null,0,4241,0
1753970830334,517,Type and Search-22,200,,1_ Search - Ultimate Thread Group 1-16,text,true,,3441,967,61,100,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=89BCDD5E8DF15351B7C17616FEC2CB7E,517,0,0
1753970825023,1731,Enter Credentials and Login,200,"Number of samples in transaction : 2, number of failing samples : 0",3_ Add to Cart - Ultimate Thread Group 3-4,,true,,10518,2268,8,100,null,0,4109,0
1753970827093,1223,Enter Credentials and Login-47,200,,3_ Add to Cart - Ultimate Thread Group 3-4,text,true,,5374,1656,7,92,https://petstore.octoperf.com/actions/Catalog.action,577,0,0
1753970827093,577,Enter Credentials and Login-47-0,302,,3_ Add to Cart - Ultimate Thread Group 3-4,,true,,230,956,7,92,https://petstore.octoperf.com/actions/Account.action,577,0,0
1753970827670,646,Enter Credentials and Login-47-1,200,,3_ Add to Cart - Ultimate Thread Group 3-4,text,true,,5144,700,7,92,https://petstore.octoperf.com/actions/Catalog.action,646,0,0
1753970830354,508,Enter Credentials and Login-48,200,,3_ Add to Cart - Ultimate Thread Group 3-4,text,true,,5144,612,8,100,https://petstore.octoperf.com/actions/Catalog.action,508,0,0
1753970826190,3603,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-59,,true,,23032,1638,61,100,null,0,1080,1622
1753970826192,2279,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-59,text,true,,1452,508,58,93,https://petstore.octoperf.com/,2279,0,1622
1753970829549,493,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-59,text,true,,4990,578,61,97,https://petstore.octoperf.com/actions/Catalog.action,493,0,0
1753970830042,831,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-59,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,572,0,0
1753970825019,1761,Sign Out,200,"Number of samples in transaction : 2, number of failing samples : 0",3_ Add to Cart - Ultimate Thread Group 3-8,,true,,10251,1905,8,100,null,0,4117,0
1753970827073,1229,Sign Out-68,200,,3_ Add to Cart - Ultimate Thread Group 3-8,text,true,,5278,1273,7,92,https://petstore.octoperf.com/actions/Catalog.action,587,0,0
1753970827073,587,Sign Out-68-0,302,,3_ Add to Cart - Ultimate Thread Group 3-8,,true,,230,641,7,92,https://petstore.octoperf.com/actions/Account.action?signoff=,587,0,0
1753970827660,642,Sign Out-68-1,200,,3_ Add to Cart - Ultimate Thread Group 3-8,text,true,,5048,632,7,92,https://petstore.octoperf.com/actions/Catalog.action,642,0,0
1753970830364,532,Sign Out-69,200,,3_ Add to Cart - Ultimate Thread Group 3-8,text,true,,4973,632,8,100,https://petstore.octoperf.com/actions/Catalog.action,532,0,0
1753970827994,1855,Get Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-23,,true,,4973,578,30,100,null,0,1061,1346
1753970829054,1855,Get Home Page-26,200,,2_ View Details - Ultimate Thread Group 2-23,text,true,,4973,578,30,100,https://petstore.octoperf.com/actions/Catalog.action,1855,0,1346
1753970828130,1768,Get Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-13,,true,,4973,578,30,100,null,0,1022,1258
1753970829152,1768,Get Home Page-26,200,,2_ View Details - Ultimate Thread Group 2-13,text,true,,4973,578,30,100,https://petstore.octoperf.com/actions/Catalog.action,1768,0,1258
1753970826346,3560,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-25,,true,,23029,1638,61,100,null,0,1143,1562
1753970826347,2223,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-25,text,true,,1452,508,58,93,https://petstore.octoperf.com/,2223,0,1562
1753970829712,510,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-25,text,true,,4987,578,61,97,https://petstore.octoperf.com/actions/Catalog.action,509,0,0
1753970830222,827,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-25,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,517,0,0
1753970828505,504,Click on ItemID,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-20,,true,,3818,656,30,100,null,0,2043,0
1753970830548,504,Click on ItemID-30,200,,2_ View Details - Ultimate Thread Group 2-20,text,true,,3818,656,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-23,504,0,0
1753970828501,516,Click on Category,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-6,,true,,3666,631,30,100,null,0,2075,0
1753970830575,516,Click on Category-28,200,,2_ View Details - Ultimate Thread Group 2-6,text,true,,3666,631,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,516,0,0
1753970826399,3591,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-8,,true,,23706,1532,61,100,null,0,1125,1574
1753970826401,2219,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-8,text,true,,1452,455,58,93,https://petstore.octoperf.com/,2219,0,1574
1753970829741,501,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-8,text,true,,5664,525,61,98,https://petstore.octoperf.com/actions/Catalog.action,501,0,0
1753970830243,871,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-8,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,511,0,0
1753970828619,525,Click on Category,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-25,,true,,3666,631,30,100,null,0,2062,0
1753970830680,525,Click on Category-28,200,,2_ View Details - Ultimate Thread Group 2-25,text,true,,3666,631,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,525,0,0
1753970828722,471,Click on ProductID,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-8,,true,,4120,663,30,100,null,0,2048,0
1753970830769,471,Click on ProductID-29,200,,2_ View Details - Ultimate Thread Group 2-8,text,true,,4120,663,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FL-DLH-02,471,0,0
1753970826586,3667,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-61,,true,,23028,1638,61,100,null,0,1117,1614
1753970826588,2265,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-61,text,true,,1452,508,58,93,https://petstore.octoperf.com/,2265,0,1614
1753970829966,533,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-61,text,true,,4986,578,61,100,https://petstore.octoperf.com/actions/Catalog.action,531,0,0
1753970830500,869,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-61,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,509,0,0
1753970826692,3584,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-40,,true,,23029,1638,61,100,null,0,1119,1612
1753970826692,2215,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-40,text,true,,1452,508,59,94,https://petstore.octoperf.com/,2215,0,1612
1753970830025,537,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-40,text,true,,4987,578,61,100,https://petstore.octoperf.com/actions/Catalog.action,537,0,0
1753970830563,832,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-40,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,511,0,0
1753970828791,548,Click on ProductID,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-18,,true,,4119,662,30,100,null,0,2073,0
1753970830863,548,Click on ProductID-29,200,,2_ View Details - Ultimate Thread Group 2-18,text,true,,4119,662,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-02,548,0,0
1753970826551,555,Type and Search,200,"Number of samples in transaction : 1, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-15,,true,,3445,971,61,100,null,0,4319,0
1753970830869,555,Type and Search-22,200,,1_ Search - Ultimate Thread Group 1-15,text,true,,3445,971,61,100,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=89BCDD5E8DF15351B7C17616FEC2CB7E,555,0,0
1753970828821,549,Click on ProductID,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-28,,true,,4106,662,30,100,null,0,2062,0
1753970830883,549,Click on ProductID-29,200,,2_ View Details - Ultimate Thread Group 2-28,text,true,,4106,662,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,548,0,0
1753970826650,3687,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-57,,true,,23028,1638,61,100,null,0,1134,1641
1753970826651,2247,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-57,text,true,,1452,508,59,94,https://petstore.octoperf.com/,2247,0,1641
1753970830030,569,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-57,text,true,,4986,578,61,100,https://petstore.octoperf.com/actions/Catalog.action,568,0,0
1753970830599,871,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-57,text,true,,16590,552,61,100,https://petstore.octoperf.com/images/logo-topbar.svg,530,0,0
1753970828851,569,Click on ItemID,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-10,,true,,3802,656,30,100,null,0,2055,0
1753970830906,569,Click on ItemID-30,200,,2_ View Details - Ultimate Thread Group 2-10,text,true,,3802,656,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-13,569,0,0
1753970828580,1846,Get Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-22,,true,,4973,578,30,100,null,0,1074,1283
1753970829653,1846,Get Home Page-26,200,,2_ View Details - Ultimate Thread Group 2-22,text,true,,4973,578,30,100,https://petstore.octoperf.com/actions/Catalog.action,1846,0,1283
1753970826892,3566,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-7,,true,,23706,1532,61,100,null,0,1097,1647
